Generation,A1_Frequency,A1A1_Frequency,A1A2_Frequency,A2A2_Frequency
448,0.077600,0.006022,0.143156,0.850822
449,0.077250,0.005968,0.142565,0.851468
450,0.074450,0.005543,0.137814,0.856643
451,0.074900,0.005610,0.138580,0.855810
452,0.072750,0.005293,0.134915,0.859793
453,0.071100,0.005055,0.132090,0.862855
454,0.070100,0.004914,0.130372,0.864714
455,0.069750,0.004865,0.129770,0.865365
456,0.068900,0.004747,0.128306,0.866947
457,0.067500,0.004556,0.125888,0.869556
458,0.065600,0.004303,0.122593,0.873103
459,0.067600,0.004570,0.126060,0.869370
460,0.065700,0.004316,0.122767,0.872916
461,0.066500,0.004422,0.124156,0.871422
462,0.065450,0.004284,0.122333,0.873384
463,0.064450,0.004154,0.120592,0.875254
464,0.065300,0.004264,0.122072,0.873664
465,0.064400,0.004147,0.120505,0.875347
466,0.065500,0.004290,0.122420,0.873290
467,0.069150,0.004782,0.128737,0.866482
468,0.068150,0.004644,0.127011,0.868344
469,0.068500,0.004692,0.127616,0.867692
470,0.068650,0.004713,0.127874,0.867413
471,0.066150,0.004376,0.123548,0.872076
472,0.063800,0.004070,0.119459,0.876470
473,0.063750,0.004064,0.119372,0.876564
474,0.066000,0.004356,0.123288,0.872356
475,0.070150,0.004921,0.130458,0.864621
476,0.069950,0.004893,0.130114,0.864993
477,0.072550,0.005264,0.134573,0.860164
478,0.071350,0.005091,0.132518,0.862391
479,0.073550,0.005410,0.136281,0.858310
480,0.073800,0.005446,0.136707,0.857846
481,0.071900,0.005170,0.133461,0.861370
482,0.072150,0.005206,0.133889,0.860906
483,0.070700,0.004998,0.131403,0.863598
484,0.070900,0.005027,0.131746,0.863227
485,0.074850,0.005603,0.138495,0.855903
486,0.074600,0.005565,0.138070,0.856365
487,0.073350,0.005380,0.135940,0.858680
488,0.069150,0.004782,0.128737,0.866482
489,0.069200,0.004789,0.128823,0.866389
490,0.067900,0.004610,0.126579,0.868810
491,0.069200,0.004789,0.128823,0.866389
492,0.071500,0.005112,0.132775,0.862112
493,0.071500,0.005112,0.132775,0.862112
494,0.068750,0.004727,0.128047,0.867227
495,0.064250,0.004128,0.120244,0.875628
496,0.064350,0.004141,0.120418,0.875441
497,0.064000,0.004096,0.119808,0.876096
498,0.066550,0.004429,0.124242,0.871329
499,0.065700,0.004316,0.122767,0.872916
500,0.066200,0.004382,0.123635,0.871982
501,0.063400,0.004020,0.118761,0.877220
502,0.061700,0.003807,0.115786,0.880407
503,0.059850,0.003582,0.112536,0.883882
504,0.061900,0.003832,0.116137,0.880032
505,0.062000,0.003844,0.116312,0.879844
506,0.063600,0.004045,0.119110,0.876845
507,0.063700,0.004058,0.119285,0.876658
508,0.065100,0.004238,0.121724,0.874038
509,0.062200,0.003869,0.116662,0.879469
510,0.062700,0.003931,0.117537,0.878531
511,0.062900,0.003956,0.117887,0.878156
512,0.062300,0.003881,0.116837,0.879281
513,0.064850,0.004206,0.121289,0.874506
514,0.068500,0.004692,0.127616,0.867692
515,0.071200,0.005069,0.132261,0.862669
516,0.071750,0.005148,0.133204,0.861648
517,0.070850,0.005020,0.131661,0.863320
518,0.070750,0.005006,0.131489,0.863506
519,0.074750,0.005588,0.138325,0.856088
520,0.074400,0.005535,0.137729,0.856735
521,0.074200,0.005506,0.137389,0.857106
522,0.073050,0.005336,0.135427,0.859236
523,0.073850,0.005454,0.136792,0.857754
524,0.073550,0.005410,0.136281,0.858310
525,0.069950,0.004893,0.130114,0.864993
526,0.068550,0.004699,0.127702,0.867599
527,0.068850,0.004740,0.128219,0.867040
528,0.069400,0.004816,0.129167,0.866016
529,0.069500,0.004830,0.129340,0.865830
530,0.072400,0.005242,0.134316,0.860442
531,0.073550,0.005410,0.136281,0.858310
532,0.073900,0.005461,0.136878,0.857661
533,0.075500,0.005700,0.139599,0.854700
534,0.075750,0.005738,0.140024,0.854238
535,0.075700,0.005730,0.139939,0.854330
536,0.078200,0.006115,0.144170,0.849715
537,0.076900,0.005914,0.141973,0.852114
538,0.078400,0.006147,0.144507,0.849347
539,0.078700,0.006194,0.145013,0.848794
540,0.077050,0.005937,0.142227,0.851837
541,0.074650,0.005573,0.138155,0.856273
542,0.076550,0.005860,0.141380,0.852760
543,0.075800,0.005746,0.140109,0.854146
544,0.075750,0.005738,0.140024,0.854238
545,0.077500,0.006006,0.142987,0.851006
546,0.075300,0.005670,0.139260,0.855070
547,0.075050,0.005633,0.138835,0.855533
548,0.076800,0.005898,0.141804,0.852298
549,0.076750,0.005891,0.141719,0.852391
550,0.076750,0.005891,0.141719,0.852391
551,0.074200,0.005506,0.137389,0.857106
552,0.076600,0.005868,0.141465,0.852668
553,0.077750,0.006045,0.143410,0.850545
554,0.075050,0.005633,0.138835,0.855533
555,0.072050,0.005191,0.133718,0.861091
556,0.073550,0.005410,0.136281,0.858310
557,0.075000,0.005625,0.138750,0.855625
558,0.074100,0.005491,0.137218,0.857291
559,0.072350,0.005235,0.134231,0.860535
